"key","message","comment","context"
"Trading","交易模块",,
"OrdersHistory","历史订单",,
"OrdersDetailHistory","历史订单详情",,
"User","用户编号",,
"Capital detail","资金明细",,
"Code","编号",,
"Name","名称",,
"Variety","交易对",,
"Currency","币种",,
"Type","借款类型",,
"ApplyAmount","借款金额",,
"Return amount","已还金额",,
"Paid interest","已还利息",,
"Interest rate","利率",,
"Apply time","申请时间",,
"Return status","归还状态",,
"Cd","创建时间",,
"BadLoans","坏账记录",,
"LendingWater","放贷记录",,
"ReturnLeverage","资金归还记录",,
"Apply code","申请编码",,
"Lending","放贷Id",,
"Interest","利息",,
"Time","还款时间",,
"Days","计息天数",,
"Lending subject profit","放贷人盈利金额",,
"Platform profit","平台盈利金额",,
"Capital detail","资金明细id",,
"LendingAmount","放贷金额",,
"Lending time","放贷时间",,
"Lending subject","放贷人类型",,
"Bad","坏账Id",,
"Bourse","市场监管",,
"Operation succeeded","操作成功！",,
"Operation failed","操作失败！",,
"Synchronous","同步",,
"Details","详情",,
"MetaParam","元数据参数",,
"Essential information","基本信息",,
"Commodity details","商品详情",,
"add item","新增",,
"enable","启用",,
"disable","禁用",,
"MetaLanguage","元数据语言",,
"MetaTemplate","元数据模板",,
"Exchange","交易所",,
"Exchanges","交易所",,
"Commodity","商品",,
"Criteria","符号",,
"Enabled","是否启用",,
"Enable","启用",,
"Disable","禁用",,
"Message","信息",,
