"key","message","comment","context"
"UserManager","会员管理",,
"UserList","用户列表",,
"UserSystem","系统用户",,
"AllUser","所有用户",,
"MarketMaker","市商",,
"OperationUser","运营用户",,
"Authentication","认证用户",,
"BasicAuth","基本认证",,
"AuthRecord","认证记录",,
"Email","邮箱",,
"Code","用户编号",,
"Mobile","手机",,
"First name","姓",,
"Last name","名",,
"UserName","用户名",,
"User type","用户类型",,
"User status","用户状态",,
"Auth type","认证类型",,
"Auth status","认证状态",,
"Auth time","认证时间",,
"UserDetail","用户详情",,
"BasicInfo","基本信息",,
"AssetInfo","资产信息",,
"assetOverview","资产概况",,
"TradingRecord","币币交易",,
"MessageList","消息列表",,
"OutCoinList","出币列表",,
"InCoinList","入币列表",,
"CapitalWater","资金流水",,
"InOutCoinAccount","出入币账户",,
"OperationRecord","操作记录",,
"Last login ip","登录IP",,
"loginSucceedCount","登录成功次数",,
"loginFailureCount","登录失败次数",,
"pwdModifyTimesToday","当日修改密码次数",,
"orin","是否在线",,
"Cu","创建人",,
"Lmu","修改人",,
"Country code","国家代码",,
"Enabled","是否启用",,
"Ve","修改次数",,
"Types","类型",,
"type","类型",,
"Cd","创建时间",,
"CreateDate","创建时间",,
"Lmd","修改时间",,
"The average user","普通用户",,
"Management personnel","管理人员",,
"A market maker","市商",,
"Users of the system","系统用户",,
"thirdParty","第三方",,
"normals","正常",,
"freeze","冻结",,
"Freeze","冻结",,
"disable","禁用",,
"Id card","身份证",,
"passport","护照",,
"A driver's license","驾照",,
"Hong Kong, Macao and Taiwan resident identity CARDS","港澳台居民身份证",,
"Overseas Chinese identity card","华侨身份证",,
"AssetOverview","资产概况",,
"TotalAsset","总资产",,
"userLeverage","杠杆账户",,
"userMoney","法币账户",,
"userCoin","币币账户",,
"userWallet","钱包账户",,
"auth card","身份认证",,
"auth mobile","手机认证",,
"auth email","邮箱认证",,

"Withdraw money range","提币范围",,
"Freezing thaw trading","冻结/解冻交易",,
"Freezing thaw coin","冻结/解冻提币",,
"Freezing thaw account button","冻结/解冻账号",,
"Freezing thaw trading button","冻结/解冻交易",,
"Freezing thaw coin button","冻结/解冻提币",,
"Are you sure you want to perform this operation?","确定执行此操作吗？",,
"Request parameter error, please refresh the page retry.","请求参数错误，请刷新页面重试。",,
"Operation succeeded","操作成功！",,
"Operation failed","操作失败！",,
"Digital currency","数字货币",,
"Denominated currency","计价币",,

"Reset password","重置密码",,
"Enable or disable user","启用/禁用",,
"Distribution role","分配角色",,
"Role","角色",,

"Query freeze item failed!","查询冻结项失败！",,
"User account","用户账号",,
"Failed to query authentication information！","查询认证信息失败！",,
"image front","正面照",,
"image back","反面照",,
"image hold","手持身份证照",,
"cardNo","证件号码",,
"Certification details","认证详情",,
"Audit","审核",,
"Remarks","备注",,
"Audit failed","不通过",,
"Audit pass","通过",,

"Missing parameters, please fill in the whole!","参数缺失,请填写完整！",,
"CurrentOrders","当前委托",,
"HistoryOrders","历史委托",,

"System","平台系统",,
"Code","编号",,
"Resource","资源",,
"Resources","资源",,
"resources","资源",,
"Device","设备",,
"Upgrade","强制更新",,
"Description","描述",,
"Name","名称",,
"Code","编号",,
"Type","类型",,
"Rank","权重",,
"Version","版本",,
"ApiResource","API接口",,
"Model code","编号",,
"Model name","名称",,
"Model type","类型",,
"Model url","URL",,
"Param key","参数键",,
"Param value","参数值",,
"OperationLog","操作日志",,
"User code","用户编号",,
"Ip","IP地址",,
"Module name","所属模块",,
"Module desc","模块描述",,
"Clazz name","模块描述",,
"Method desc","方法描述",,
"Operator time","操作时间",,
"Open","公共资源",,
"Project","项目",,
"Http method","接口方法",,
"Pack","包",,
"DictData","数据字典",,
"modify user type","修改用户类型",,
"modify user info","修改用户信息",,
"Sure","确定",,
"Add User","添加用户",,
"The phone number format is incorrect.","手机号码格式不正确！",,
"The mailbox format is incorrect.","邮箱格式不正确！",,
"Mobile phone number already exists!","手机号已存在！",,
"The mailbox already exists!","邮箱已存在！",,
"User name already exists!","用户名已存在！",,
"password","密码",,

"Contract margin allocation","合约保证金配置",,
"First max","第一阶梯最高开仓数量（万张）","",""
"Upper limit","阶梯上限（万张）","",""
"Bond config rise","阶梯涨幅（万张）","",""
"First rate","一阶维持保证金率%","",""
"Keep rise rate","维持保证金率增长幅度%","",""
"Init rise rate","初始保证金率增长幅度%","",""
"Multi-maker fee (%)","多头maker手续费（%）",,
"Multiple taker fee (%)","多头taker手续费（%）",,
"Short maker handling charge (%)","空头maker手续费（%）",,
"Empty taker charge (%)","空头taker手续费（%）",,
"Save","保存",,
"Contract fee configuration","合约手续费配置",,
"General fee configuration","通用手续费配置",,
"Strong flat single handling charge configuration","强平单手续费配置",,
"Query user contract margin configuration information failed!","查询用户合约保证金配置信息失败！",,
"Query user contract fee configuration information failed!","查询用户合约手续费配置信息失败！",,
"Contract","合约模块",,
"userContract","合约账户",,
"userOrderEntrust","合约委托",,
"userOrderPosition","合约持仓",,
"userOrderDeal","合约成交记录",,
"Id","用户ID",,
"UserCoinTradeOrders","当前委托",,
"UserCoinTradeCancel","撤销记录",,
"UserCoinTradeDone","历史成交",,
"UserWalletAsset","钱包账户",,
"UserCoinAsset","币币账户",,
"UserContractAsset","合约账户",,
"UserContractTradeOrders","委托列表",,
"UserContractTradePosition","持仓列表",,
"UserContractTradeDeal","成交列表",,
